# Checkpoint G1: OOD gate operating characteristic on in-vivo brain data
# n_voxels=1997, gate_statistic=npe_selfconsistency
# Part A: ranking power of deployable scores vs held-out miscalibration
score,auc_vs_median_label,spearman_vs_heldout_rmsz
chi2_red,0.5938,0.1928
npe_selfconsistency,0.9932,0.9884

# Part B: calibration recovery vs gate threshold (ungated coverage@0.95=0.0334, residual_sd=11.0036)
gate,retained_fraction,threshold,coverage95_points,heldout_residual_sd
npe_selfconsistency,0.05000,6.77820,0.19667,4.27648
npe_selfconsistency,0.10000,8.53260,0.17000,5.01629
npe_selfconsistency,0.15000,10.12107,0.14556,5.39714
npe_selfconsistency,0.20000,11.19203,0.11779,5.72436
npe_selfconsistency,0.25000,12.34977,0.10554,6.06559
npe_selfconsistency,0.30000,13.49664,0.09293,6.37656
npe_selfconsistency,0.35000,14.37443,0.08202,6.67244
npe_selfconsistency,0.40000,15.23656,0.07468,7.02178
npe_selfconsistency,0.45000,16.14376,0.06897,7.28625
npe_selfconsistency,0.50000,16.93071,0.06413,7.55611
npe_selfconsistency,0.55000,17.72652,0.05889,7.83001
npe_selfconsistency,0.60000,18.45143,0.05509,8.09128
npe_selfconsistency,0.65000,19.16505,0.05110,8.33102
npe_selfconsistency,0.70000,20.10708,0.04769,8.56980
npe_selfconsistency,0.75000,21.04426,0.04450,8.83850
npe_selfconsistency,0.80000,22.06879,0.04172,9.10892
npe_selfconsistency,0.85000,23.37930,0.03929,9.38002
npe_selfconsistency,0.90000,25.04221,0.03710,9.74233
npe_selfconsistency,0.95000,27.84697,0.03514,10.22610
npe_selfconsistency,1.00000,49.40353,0.03338,11.00363
chi2_red,0.05000,0.01245,0.05667,11.58505
chi2_red,0.10000,0.04060,0.04500,10.83043
chi2_red,0.15000,0.07561,0.04667,10.84781
chi2_red,0.20000,0.13525,0.04261,10.86814
chi2_red,0.25000,0.19978,0.04142,10.72882
chi2_red,0.30000,0.28859,0.04341,10.84174
chi2_red,0.35000,0.40491,0.04196,10.78203
chi2_red,0.40000,0.51999,0.04255,10.81440
chi2_red,0.45000,0.66894,0.04301,10.86360
chi2_red,0.50000,0.81332,0.04175,10.84432
chi2_red,0.55000,1.01074,0.03977,10.84841
chi2_red,0.60000,1.24773,0.03895,10.88615
chi2_red,0.65000,1.56482,0.04032,10.88919
chi2_red,0.70000,1.88463,0.03863,10.90462
chi2_red,0.75000,2.30276,0.03783,10.92437
chi2_red,0.80000,2.89441,0.03776,10.99687
chi2_red,0.85000,3.81631,0.03771,11.00730
chi2_red,0.90000,5.66645,0.03636,10.98911
chi2_red,0.95000,10.47470,0.03514,10.98601
chi2_red,1.00000,146.98711,0.03338,11.00363

# Part C: recommended threshold (ROC Youden point of recommended gate)
gate_statistic,threshold,tpr,fpr,retained_fraction,coverage95_points,heldout_residual_sd
npe_selfconsistency,16.7256,0.9679,0.0501,0.4917,0.0648,7.5039
