nlls_dstar,npe_dstar,nlls_railed
0.150000,0.031047,1
0.017705,0.028687,0
0.119054,0.027863,0
0.150000,0.031346,1
0.094177,0.024659,0
0.150000,0.021630,1
0.150000,0.031377,1
0.141216,0.029685,0
0.120107,0.032827,0
0.120229,0.031269,0
0.092274,0.028908,0
0.020045,0.027722,0
0.150000,0.034129,1
0.118645,0.022441,0
0.078218,0.029390,0
0.119534,0.033127,0
0.150000,0.037397,1
0.050652,0.031287,0
0.030364,0.032120,0
0.150000,0.025123,1
0.150000,0.035245,1
0.150000,0.033645,1
0.150000,0.026467,1
0.150000,0.028920,1
0.150000,0.033928,1
0.114941,0.018278,0
0.022350,0.024088,0
0.150000,0.029429,1
0.072344,0.034196,0
0.150000,0.042081,1
0.150000,0.026026,1
0.150000,0.041007,1
0.150000,0.043253,1
0.121832,0.036679,0
0.150000,0.033267,1
0.150000,0.033137,1
0.150000,0.027732,1
0.141168,0.033860,0
0.058594,0.024075,0
0.118453,0.031844,0
0.014346,0.030318,0
0.102226,0.031396,0
0.003000,0.033160,1
0.150000,0.029389,1
0.124593,0.028753,0
0.150000,0.037166,1
0.049795,0.032982,0
0.150000,0.034433,1
0.150000,0.028945,1
0.063554,0.028875,0
0.140779,0.037331,0
0.116000,0.041365,0
0.149997,0.031241,1
0.150000,0.033091,1
0.150000,0.033082,1
0.150000,0.041845,1
0.063942,0.041641,0
0.150000,0.030973,1
0.150000,0.030583,1
0.150000,0.034542,1
0.150000,0.039706,1
0.150000,0.042861,1
0.150000,0.045818,1
0.150000,0.025848,1
0.150000,0.016923,1
0.113851,0.025952,0
0.109122,0.026353,0
0.098616,0.033057,0
0.096701,0.041911,0
0.073325,0.032012,0
0.144130,0.028249,0
0.128750,0.024734,0
0.062090,0.026476,0
0.094408,0.029016,0
0.093527,0.031489,0
0.064182,0.024516,0
0.143445,0.030144,0
0.078996,0.033214,0
0.114709,0.023113,0
0.118000,0.041639,0
0.060129,0.026411,0
0.103345,0.031380,0
0.135513,0.034543,0
0.150000,0.035347,1
0.144016,0.028763,0
0.150000,0.032500,1
0.015734,0.027298,0
0.150000,0.022509,1
0.150000,0.035035,1
0.150000,0.040603,1
0.150000,0.041788,1
0.150000,0.029788,1
0.150000,0.035472,1
0.150000,0.028402,1
0.078864,0.039896,0
0.150000,0.031769,1
0.150000,0.026080,1
0.150000,0.038212,1
0.150000,0.034587,1
0.150000,0.022497,1
0.150000,0.028462,1
0.150000,0.026192,1
0.150000,0.037750,1
0.150000,0.039879,1
0.150000,0.023411,1
0.150000,0.028523,1
0.150000,0.035064,1
0.073117,0.034054,0
0.150000,0.032925,1
0.112716,0.021738,0
0.137808,0.032532,0
0.150000,0.023130,1
0.150000,0.027565,1
0.150000,0.032038,1
0.120541,0.021335,0
0.150000,0.035571,1
0.148511,0.027408,1
0.110237,0.020078,0
0.150000,0.028550,1
0.079041,0.031313,0
0.150000,0.028464,1
0.109152,0.024628,0
0.150000,0.024359,1
0.147459,0.031048,0
0.132302,0.025319,0
0.150000,0.038662,1
0.061962,0.022223,0
0.150000,0.027222,1
0.150000,0.021610,1
0.069141,0.042195,0
0.109641,0.023319,0
0.121490,0.021093,0
0.144753,0.038934,0
0.074570,0.040068,0
0.043551,0.031874,0
0.150000,0.042224,1
0.150000,0.033300,1
0.150000,0.030612,1
0.063729,0.031945,0
0.115874,0.031949,0
0.150000,0.042931,1
0.150000,0.023494,1
0.150000,0.027543,1
0.150000,0.028210,1
0.145306,0.026929,0
0.150000,0.035054,1
0.150000,0.034106,1
0.150000,0.026289,1
0.037350,0.026384,0
0.071445,0.026312,0
0.150000,0.033079,1
0.150000,0.028279,1
0.124260,0.023575,0
0.150000,0.031992,1
0.067229,0.032251,0
0.150000,0.033295,1
0.150000,0.032764,1
0.124609,0.024411,0
0.150000,0.035043,1
0.150000,0.030243,1
0.150000,0.027410,1
0.150000,0.026704,1
0.150000,0.032148,1
0.150000,0.031045,1
0.150000,0.038699,1
0.131870,0.023350,0
0.150000,0.023451,1
0.150000,0.022629,1
0.150000,0.020533,1
0.150000,0.034019,1
0.150000,0.025833,1
0.150000,0.034881,1
0.150000,0.029869,1
0.150000,0.033809,1
0.150000,0.018470,1
0.150000,0.028798,1
0.064357,0.024516,0
0.150000,0.020646,1
0.066944,0.031762,0
0.150000,0.031670,1
0.150000,0.019281,1
0.150000,0.031425,1
0.058732,0.022695,0
0.150000,0.035359,1
0.150000,0.037059,1
0.150000,0.030570,1
0.075992,0.030339,0
0.149931,0.020763,1
0.060768,0.031284,0
0.107598,0.033534,0
0.073858,0.037274,0
