parameter,snr,overconfident,efficient,inefficient
D,10.0,0.455078125,0.45703125,0.087890625
D,20.0,0.1953125,0.3359375,0.46875
D,50.0,0.029296875,0.322265625,0.6484375
D,100.0,0.001953125,0.244140625,0.75390625
Dstar,10.0,0.861328125,0.064453125,0.07421875
Dstar,20.0,0.763671875,0.076171875,0.16015625
Dstar,50.0,0.6328125,0.087890625,0.279296875
Dstar,100.0,0.521484375,0.09765625,0.380859375
f,10.0,0.583984375,0.416015625,0.0
f,20.0,0.201171875,0.330078125,0.46875
f,50.0,0.09375,0.2578125,0.6484375
f,100.0,0.0078125,0.20703125,0.78515625
