# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0006,0.01,0.02,10.0,0.8003064,-0.018896818,0.60636175,-0.29188910221499126,0.2840000092983246,f-D* trade-off
0.0006,0.01,0.08142857142857143,10.0,0.7638304,-0.011463046,0.50217175,-0.30978409213376157,0.11100000143051147,f-D* trade-off
0.0006,0.01,0.14285714285714285,10.0,0.739061,-0.027855277,0.41244906,-0.34716161542028395,0.06700000166893005,f-D* trade-off
0.0006,0.01,0.20428571428571426,10.0,0.70839226,-0.0018177032,0.44282377,-0.18697131640021042,0.04699999839067459,f-D* trade-off
0.0006,0.01,0.26571428571428574,10.0,0.66302836,0.010631382,0.394046,-0.15949756168307613,0.032999999821186066,f-D* trade-off
0.0006,0.01,0.3271428571428572,10.0,0.639256,0.009754598,0.36810052,-0.23525699466240008,0.020999999716877937,f-D* trade-off
0.0006,0.01,0.38857142857142857,10.0,0.63355386,0.023275912,0.41591567,-0.17244300690765843,0.007000000216066837,f-D* trade-off
0.0006,0.01,0.45,10.0,0.55255365,0.04575175,0.33425575,-0.1461893622230305,0.008999999612569809,f-D* trade-off
0.0006,0.025714285714285717,0.02,10.0,0.7932287,-0.012694359,0.5850144,-0.3328968021106015,0.2669999897480011,f-D* trade-off
0.0006,0.025714285714285717,0.08142857142857143,10.0,0.74436307,-0.021034122,0.4046331,-0.35434043310371827,0.10199999809265137,f-D* trade-off
0.0006,0.025714285714285717,0.14285714285714285,10.0,0.70950985,-0.0065392256,0.41662323,-0.18857745366239959,0.07699999958276749,f-D* trade-off
0.0006,0.025714285714285717,0.20428571428571426,10.0,0.64193064,-0.031423092,0.3615691,-0.13387416545941055,0.05900000035762787,f-D* trade-off
0.0006,0.025714285714285717,0.26571428571428574,10.0,0.5756339,-0.02342236,0.29669565,-0.17188586793192226,0.032999999821186066,f-D* trade-off
0.0006,0.025714285714285717,0.3271428571428572,10.0,0.51504767,0.01782453,0.26852965,-0.14966068043662537,0.028999999165534973,f-D* trade-off
0.0006,0.025714285714285717,0.38857142857142857,10.0,0.40314567,-0.018447876,0.23741263,-0.14423370193739887,0.023000000044703484,f-D* trade-off
0.0006,0.025714285714285717,0.45,10.0,0.28960174,0.035161793,0.2099846,-0.13602515148714872,0.01600000075995922,f-D* trade-off
0.0006,0.04142857142857143,0.02,10.0,0.7877141,-0.022934794,0.56966627,-0.3310042492959606,0.257999986410141,f-D* trade-off
0.0006,0.04142857142857143,0.08142857142857143,10.0,0.756446,-0.018504977,0.44804168,-0.3452787214814854,0.10999999940395355,f-D* trade-off
0.0006,0.04142857142857143,0.14285714285714285,10.0,0.6761173,-0.009482622,0.36315316,-0.1855767525800056,0.07400000095367432,f-D* trade-off
0.0006,0.04142857142857143,0.20428571428571426,10.0,0.60879564,-0.009649277,0.31092972,-0.14783188273705877,0.054999999701976776,f-D* trade-off
0.0006,0.04142857142857143,0.26571428571428574,10.0,0.5260109,0.009873152,0.24182665,-0.21429527081989777,0.054999999701976776,f-D* trade-off
0.0006,0.04142857142857143,0.3271428571428572,10.0,0.4609987,-0.0008494854,0.18802112,-0.19049978501760945,0.03200000151991844,f-D* trade-off
0.0006,0.04142857142857143,0.38857142857142857,10.0,0.32812458,0.009596765,0.19862878,-0.0825680758001752,0.02500000037252903,f-D* trade-off
0.0006,0.04142857142857143,0.45,10.0,0.22968042,0.023729086,0.13297236,-0.044702534204542455,0.019999999552965164,f-D* trade-off
0.0006,0.05714285714285715,0.02,10.0,0.7933033,-0.02085495,0.58570063,-0.3140851358553478,0.2840000092983246,f-D* trade-off
0.0006,0.05714285714285715,0.08142857142857143,10.0,0.737071,-0.015348911,0.44772613,-0.2769963891118438,0.11400000005960464,f-D* trade-off
0.0006,0.05714285714285715,0.14285714285714285,10.0,0.6771148,-0.006854415,0.40795606,-0.16176828842817845,0.08399999886751175,f-D* trade-off
0.0006,0.05714285714285715,0.20428571428571426,10.0,0.59038246,-0.007681608,0.3085466,-0.09302103648854504,0.06300000101327896,f-D* trade-off
0.0006,0.05714285714285715,0.26571428571428574,10.0,0.5015533,-0.0054092407,0.24890578,-0.14375441104744616,0.0430000014603138,f-D* trade-off
0.0006,0.05714285714285715,0.3271428571428572,10.0,0.4360574,0.013332963,0.2165196,-0.12679849897080647,0.026000000536441803,f-D* trade-off
0.0006,0.05714285714285715,0.38857142857142857,10.0,0.32806587,0.0044820905,0.18526793,-0.04743225393626157,0.026000000536441803,f-D* trade-off
0.0006,0.05714285714285715,0.45,10.0,0.20052344,0.03814912,0.12627316,-0.017667498175466152,0.014999999664723873,f-D* trade-off
0.0006,0.07285714285714286,0.02,10.0,0.79783076,-0.03293705,0.5750426,-0.36070885196904634,0.24799999594688416,f-D* trade-off
0.0006,0.07285714285714286,0.08142857142857143,10.0,0.73735404,-0.013958693,0.45101994,-0.26078790126269,0.12700000405311584,f-D* trade-off
0.0006,0.07285714285714286,0.14285714285714285,10.0,0.70570624,-0.015562773,0.38924718,-0.17871197223784635,0.07800000160932541,f-D* trade-off
0.0006,0.07285714285714286,0.20428571428571426,10.0,0.6127622,-0.019891977,0.3254394,-0.09735305846795404,0.041999999433755875,f-D* trade-off
0.0006,0.07285714285714286,0.26571428571428574,10.0,0.5036583,-0.021773934,0.23639017,-0.13096564032801578,0.03999999910593033,f-D* trade-off
0.0006,0.07285714285714286,0.3271428571428572,10.0,0.41938597,-0.008934975,0.19898742,-0.145983762059802,0.03099999949336052,f-D* trade-off
0.0006,0.07285714285714286,0.38857142857142857,10.0,0.28635323,-0.0015046597,0.14665765,-0.07509478104609327,0.02199999988079071,f-D* trade-off
0.0006,0.07285714285714286,0.45,10.0,0.20811993,0.03749281,0.1095224,-0.016659665727014866,0.014999999664723873,f-D* trade-off
0.0006,0.08857142857142856,0.02,10.0,0.79141057,-0.014761925,0.59943926,-0.32149415600436626,0.24300000071525574,f-D* trade-off
0.0006,0.08857142857142856,0.08142857142857143,10.0,0.7337357,0.017343223,0.4564622,-0.26444143460138375,0.11100000143051147,f-D* trade-off
0.0006,0.08857142857142856,0.14285714285714285,10.0,0.684741,-0.0036871433,0.39922327,-0.15177002668341774,0.08500000089406967,f-D* trade-off
0.0006,0.08857142857142856,0.20428571428571426,10.0,0.5882063,0.004550755,0.28485334,-0.22471850938683954,0.0560000017285347,f-D* trade-off
0.0006,0.08857142857142856,0.26571428571428574,10.0,0.50209206,0.0017303824,0.25671184,-0.13737359260431733,0.03799999877810478,f-D* trade-off
0.0006,0.08857142857142856,0.3271428571428572,10.0,0.3941176,-0.0019606352,0.19348717,-0.10360019825439461,0.024000000208616257,f-D* trade-off
0.0006,0.08857142857142856,0.38857142857142857,10.0,0.27418995,0.025054455,0.14232552,-0.04919109548395202,0.024000000208616257,f-D* trade-off
0.0006,0.08857142857142856,0.45,10.0,0.19037545,0.0221079,0.11706734,-0.037177444135354246,0.01600000075995922,f-D* trade-off
0.0006,0.10428571428571429,0.02,10.0,0.7982601,-0.0139552355,0.55942047,-0.3306325075559444,0.28299999237060547,f-D* trade-off
0.0006,0.10428571428571429,0.08142857142857143,10.0,0.7491894,-0.0022587776,0.47642303,-0.26460739145208406,0.0989999994635582,f-D* trade-off
0.0006,0.10428571428571429,0.14285714285714285,10.0,0.676764,-0.022646189,0.38884705,-0.15885602833092546,0.08900000154972076,f-D* trade-off
0.0006,0.10428571428571429,0.20428571428571426,10.0,0.6013466,-0.018994093,0.33093977,-0.09790811004262664,0.057999998331069946,f-D* trade-off
0.0006,0.10428571428571429,0.26571428571428574,10.0,0.47421336,0.0063402653,0.2337091,-0.1449835508912401,0.05299999937415123,f-D* trade-off
