# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0006,0.01,0.02,10.0,0.778501,0.21346879,0.45383304,-0.27539590005537223,0.15199999511241913,f-D* trade-off
0.0006,0.01,0.08142857142857143,10.0,0.72195876,0.21095574,0.34006137,-0.3253346043970777,0.09300000220537186,f-D* trade-off
0.0006,0.01,0.14285714285714285,10.0,0.6709356,0.10018855,0.19313645,-0.3368345565719614,0.07599999755620956,f-D* trade-off
0.0006,0.01,0.20428571428571426,10.0,0.62617576,0.14912045,0.13265324,-0.36840201041576387,0.05400000140070915,f-D* trade-off
0.0006,0.01,0.26571428571428574,10.0,0.5945684,0.15545732,0.12151116,-0.35753384208886063,0.05900000035762787,f-D* trade-off
0.0006,0.01,0.3271428571428572,10.0,0.5476488,0.1880514,0.110951245,-0.37638981522519166,0.04500000178813934,f-D* trade-off
0.0006,0.01,0.38857142857142857,10.0,0.53199047,0.2670912,0.118567705,-0.37006800014586894,0.039000000804662704,f-D* trade-off
0.0006,0.01,0.45,10.0,0.5142167,0.16233647,0.11620176,-0.3575986092852847,0.027000000700354576,f-D* trade-off
0.0006,0.025714285714285717,0.02,10.0,0.7825743,0.18676865,0.44320488,-0.3126347181769934,0.15600000321865082,f-D* trade-off
0.0006,0.025714285714285717,0.08142857142857143,10.0,0.6987473,0.14762127,0.27455795,-0.3043665537878791,0.08799999952316284,f-D* trade-off
0.0006,0.025714285714285717,0.14285714285714285,10.0,0.63413274,0.17823243,0.17329335,-0.33540555948674206,0.07699999958276749,f-D* trade-off
0.0006,0.025714285714285717,0.20428571428571426,10.0,0.54542553,0.16239053,0.107640445,-0.2866768226814853,0.07800000160932541,f-D* trade-off
0.0006,0.025714285714285717,0.26571428571428574,10.0,0.4735995,0.15049785,0.05665815,-0.2794916931605879,0.054999999701976776,f-D* trade-off
0.0006,0.025714285714285717,0.3271428571428572,10.0,0.40321803,0.1568408,0.039662898,-0.3009097614871309,0.07100000232458115,f-D* trade-off
0.0006,0.025714285714285717,0.38857142857142857,10.0,0.26262861,0.06362754,0.07015425,-0.21216521332978197,0.05700000002980232,f-D* trade-off
0.0006,0.025714285714285717,0.45,10.0,0.25000578,0.13756496,0.029490232,-0.18424545726977515,0.05299999937415123,f-D* trade-off
0.0006,0.04142857142857143,0.02,10.0,0.7828084,0.1945417,0.43112075,-0.27354588051727097,0.13600000739097595,f-D* trade-off
0.0006,0.04142857142857143,0.08142857142857143,10.0,0.6999994,0.15349138,0.28497803,-0.3049602516391051,0.08900000154972076,f-D* trade-off
0.0006,0.04142857142857143,0.14285714285714285,10.0,0.62410206,0.15030903,0.13713408,-0.3209523198080845,0.07699999958276749,f-D* trade-off
0.0006,0.04142857142857143,0.20428571428571426,10.0,0.5206059,0.11030239,0.083850265,-0.29812481028763704,0.07199999690055847,f-D* trade-off
0.0006,0.04142857142857143,0.26571428571428574,10.0,0.47225815,0.09017098,0.092704356,-0.32067628879887017,0.07500000298023224,f-D* trade-off
0.0006,0.04142857142857143,0.3271428571428572,10.0,0.34094667,0.12114793,0.05940485,-0.24782973196020808,0.05700000002980232,f-D* trade-off
0.0006,0.04142857142857143,0.38857142857142857,10.0,0.23012906,0.09907019,0.053836286,-0.1647093357638288,0.0560000017285347,f-D* trade-off
0.0006,0.04142857142857143,0.45,10.0,0.16057229,0.08367956,0.04286033,-0.07873096910583241,0.027000000700354576,f-D* trade-off
0.0006,0.05714285714285715,0.02,10.0,0.78726906,0.14038473,0.43855524,-0.2938968030900084,0.15299999713897705,f-D* trade-off
0.0006,0.05714285714285715,0.08142857142857143,10.0,0.68038625,0.16596645,0.27682287,-0.29202031836705233,0.09200000017881393,f-D* trade-off
0.0006,0.05714285714285715,0.14285714285714285,10.0,0.6101333,0.114124835,0.16864401,-0.3248849848031984,0.07699999958276749,f-D* trade-off
0.0006,0.05714285714285715,0.20428571428571426,10.0,0.52418065,0.121552885,0.07187611,-0.2970122779982783,0.09799999743700027,f-D* trade-off
0.0006,0.05714285714285715,0.26571428571428574,10.0,0.44805944,0.1217888,0.08868152,-0.23993385530510544,0.0560000017285347,f-D* trade-off
