snr_bin,parameter,nominal_level,empirical_coverage,deviation,flagged
low,D,0.5,0.5,0.0,False
low,Dstar,0.5,0.49421966,-0.0057803392,False
low,f,0.5,0.4566474,-0.043352604,False
low,D,0.68,0.6647399,-0.0152601,False
low,Dstar,0.68,0.6849711,0.004971087,False
low,f,0.68,0.6676301,-0.012369931,False
low,D,0.8,0.7890173,-0.010982692,False
low,Dstar,0.8,0.7890173,-0.010982692,False
low,f,0.8,0.7919075,-0.008092523,False
low,D,0.9,0.90751445,0.007514477,False
low,Dstar,0.9,0.89017344,-0.009826541,False
low,f,0.9,0.9017341,0.0017341375,False
low,D,0.95,0.96242774,0.012427747,False
low,Dstar,0.95,0.94219655,-0.00780344,False
low,f,0.95,0.9566474,0.006647408,False
mid,D,0.5,0.5140187,0.014018714,False
mid,Dstar,0.5,0.47040498,-0.029595017,False
mid,f,0.5,0.47040498,-0.029595017,False
mid,D,0.68,0.67601246,-0.0039875507,False
mid,Dstar,0.68,0.65732086,-0.02267915,False
mid,f,0.68,0.6542056,-0.025794387,False
mid,D,0.8,0.8037383,0.003738284,False
mid,Dstar,0.8,0.7725857,-0.027414322,False
mid,f,0.8,0.7570093,-0.042990685,False
mid,D,0.9,0.90654206,0.0065420866,False
mid,Dstar,0.9,0.89719623,-0.002803743,False
mid,f,0.9,0.9096573,0.009657323,False
mid,D,0.95,0.95327103,0.0032710433,False
mid,Dstar,0.95,0.94080997,-0.009190023,False
mid,f,0.95,0.9470405,-0.0029594898,False
high,D,0.5,0.4894895,-0.010510504,False
high,Dstar,0.5,0.5075075,0.007507503,False
high,f,0.5,0.46846846,-0.031531543,False
high,D,0.68,0.7027027,0.022702694,False
high,Dstar,0.68,0.6606607,-0.019339323,False
high,f,0.68,0.6426426,-0.03735739,False
high,D,0.8,0.7807808,-0.01921922,False
high,Dstar,0.8,0.7927928,-0.007207215,False
high,f,0.8,0.7657658,-0.034234226,False
high,D,0.9,0.8828829,-0.017117083,False
high,Dstar,0.9,0.9009009,0.0009009242,False
high,f,0.9,0.9069069,0.0069069266,False
high,D,0.95,0.9339339,-0.016066074,False
high,Dstar,0.95,0.954955,0.0049549937,False
high,f,0.95,0.951952,0.0019519925,False
