anchor_case,snr,parameter,true_value,crlb_sd,nlls_empirical_sd,npe_posterior_sd
Parenchyma typical,10.0,D,1.1,0.345576882640756,0.34232662664371255,0.42678508
Parenchyma typical,10.0,Dstar,30.0,87.8342606162889,66.07997101598093,43.06356
Parenchyma typical,10.0,f,0.15,0.14179262539736598,0.15559134879722733,0.11214459
Parenchyma typical,20.0,D,1.1,0.172788441320378,0.22561416953153138,0.2919395
Parenchyma typical,20.0,Dstar,30.0,43.91713030814445,61.24722190075052,43.44974
Parenchyma typical,20.0,f,0.15,0.07089631269868299,0.11146929958182492,0.09256641
Parenchyma typical,50.0,D,1.1,0.06911537652815115,0.07213400372661503,0.18657182
Parenchyma typical,50.0,Dstar,30.0,17.566852123257775,44.82587368429115,41.96831
Parenchyma typical,50.0,f,0.15,0.028358525079473177,0.03139481388385518,0.06746046
Parenchyma typical,100.0,D,1.1,0.03455768826407558,0.03537995288466216,0.16213782
Parenchyma typical,100.0,Dstar,30.0,8.783426061628887,15.703849730285462,43.13959
Parenchyma typical,100.0,f,0.15,0.014179262539736589,0.014971144550014135,0.06407841
High perfusion,10.0,D,1.3,0.39630486260370074,0.36046744476810233,0.5500531
High perfusion,10.0,Dstar,50.0,140.5321878726792,63.9448558552814,42.58002
High perfusion,10.0,f,0.25,0.12212604305051997,0.12218559090228678,0.1193719
High perfusion,20.0,D,1.3,0.19815243130185037,0.20575297776730359,0.32923463
High perfusion,20.0,Dstar,50.0,70.2660939363396,59.04434038493989,41.49307
High perfusion,20.0,f,0.25,0.06106302152525998,0.06989165497024852,0.08414833
High perfusion,50.0,D,1.3,0.07926097252074016,0.07838082984459488,0.15897475
High perfusion,50.0,Dstar,50.0,28.106437574535843,46.526485814275986,40.03238
High perfusion,50.0,f,0.25,0.024425208610104,0.024683023221268818,0.04567387
High perfusion,100.0,D,1.3,0.03963048626037008,0.039947557998143444,0.108399175
High perfusion,100.0,Dstar,50.0,14.053218787267921,30.535442558409756,39.667515
High perfusion,100.0,f,0.25,0.012212604305052,0.012661314662422847,0.032782663
Low-f hard,10.0,D,0.9,0.38519343470171813,0.30569471171000256,0.3107103
Low-f hard,10.0,Dstar,15.0,58.133560637096664,65.24417651817447,43.224613
Low-f hard,10.0,f,0.1,0.20875789783487017,0.16240127473909913,0.09512496
Low-f hard,20.0,D,0.9,0.19259671735085906,0.23313742869946608,0.22664934
Low-f hard,20.0,Dstar,15.0,29.066780318548332,61.66184784535447,43.741875
Low-f hard,20.0,f,0.1,0.10437894891743509,0.13878462418934495,0.083095185
Low-f hard,50.0,D,0.9,0.07703868694034362,0.114894426103797,0.15647125
Low-f hard,50.0,Dstar,15.0,11.626712127419333,43.87160901747495,44.095432
Low-f hard,50.0,f,0.1,0.04175157956697403,0.07318253353693802,0.07044012
Low-f hard,100.0,D,0.9,0.03851934347017181,0.04295330585390555,0.14093862
Low-f hard,100.0,Dstar,15.0,5.813356063709667,11.766995445741564,44.62276
Low-f hard,100.0,f,0.1,0.020875789783487014,0.024450103437123342,0.07055621
