# Checkpoint F1: Misspecification Robustness Results
# Part A: Held-out b-value posterior-predictive coverage
condition,nominal_level,npe_coverage,nlls_coverage,npe_deviation,nlls_deviation
baseline,0.5,0.129052734375,0.4926920572916667,-0.370947265625,-0.007307942708333293
baseline,0.68,0.18693033854166666,0.6628580729166667,-0.4930696614583334,-0.017141927083333397
baseline,0.8,0.23575846354166666,0.7789713541666667,-0.5642415364583334,-0.021028645833333304
baseline,0.9,0.29314778645833334,0.8784993489583333,-0.6068522135416667,-0.021500651041666763
baseline,0.95,0.3362141927083333,0.9306966145833333,-0.6137858072916667,-0.019303385416666652
triexp,0.5,0.13061523437500003,0.49677734375,-0.369384765625,-0.003222656250000011
triexp,0.68,0.18878580729166664,0.66689453125,-0.49121419270833344,-0.013105468750000071
triexp,0.8,0.23829752604166668,0.7820475260416667,-0.5617024739583334,-0.017952473958333326
triexp,0.9,0.29571940104166666,0.87880859375,-0.6042805989583333,-0.021191406250000044
triexp,0.95,0.33977864583333334,0.930859375,-0.6102213541666666,-0.01914062499999991
noise_misspec,0.5,0.12893880208333333,0.4975423177083333,-0.3710611979166667,-0.0024576822916667074
noise_misspec,0.68,0.185791015625,0.6705240885416666,-0.49420898437500005,-0.009475911458333486
noise_misspec,0.8,0.23300781250000002,0.7859375,-0.5669921875,-0.014062500000000089
noise_misspec,0.9,0.2895345052083333,0.883544921875,-0.6104654947916668,-0.016455078125000022
noise_misspec,0.95,0.33471679687500006,0.934521484375,-0.615283203125,-0.015478515624999911

# Part B: Alternative b-scheme regime counts
parameter,overconfident_pct,efficient_pct,inefficient_pct
D,99.90,0.00,0.10
Dstar,99.90,0.00,0.10
f,99.90,0.00,0.10
