snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
31.0769,76.1226,0.43022,20.68184,25.01462,0
30.9590,75.8337,2.15791,22.05329,24.15580,0
34.2349,83.8581,0.42972,23.07912,25.62416,0
24.7661,60.6642,0.02867,13.98244,16.25682,0
23.9418,58.6451,6.51241,14.37907,16.18119,0
19.8160,48.5392,0.59478,9.39910,10.66401,0
32.2820,79.0745,42.85472,31.87972,36.62997,0
17.6969,43.3483,0.98488,10.03299,11.24679,0
28.8226,70.6007,2.71000,14.59270,16.57515,0
26.6939,65.3865,51.24929,31.25095,35.50712,0
24.5694,60.1825,3.65880,17.77040,19.95663,0
24.3384,59.6166,0.93640,19.73839,23.48736,0
10.4534,25.6055,0.07008,3.13165,3.21379,0
22.5972,55.3517,0.00437,10.79957,12.06013,0
35.7942,87.6775,1.89226,24.37201,26.69594,0
11.8580,29.0460,2.71846,4.91890,2.56552,0
23.3316,57.1506,6.26111,17.02647,20.75173,0
18.1599,44.4825,0.76067,10.69569,12.37752,0
25.4056,62.2308,5.88547,21.62017,26.16479,0
21.2149,51.9656,5.40512,20.76502,23.83208,0
22.1972,54.3718,1.22123,17.17481,20.17708,0
15.4063,37.7376,0.03594,9.14652,11.48699,0
33.5371,82.1488,1.00012,26.09865,31.76556,0
20.5116,50.2429,1.91699,13.63719,15.82933,0
18.9629,46.4495,0.28012,6.87228,7.87902,0
33.6462,82.4160,0.67067,23.46315,29.80971,0
27.8074,68.1140,1.66966,11.52110,14.16029,0
40.1793,98.4188,0.95419,23.90298,28.80498,0
35.5607,87.1056,0.80356,19.18157,20.86717,0
42.8728,105.0166,0.36153,19.56281,22.92314,0
23.1050,56.5955,0.05297,16.20583,19.58819,0
31.4289,76.9848,0.07047,23.26922,24.26192,0
28.9770,70.9789,1.22374,16.99968,19.46453,0
47.2750,115.7997,0.67407,14.58235,18.36693,0
18.4086,45.0917,0.66894,10.50882,11.93797,0
26.8204,65.6962,0.28268,14.48194,17.56279,0
29.4271,72.0815,0.00299,19.05381,23.04189,0
25.2079,61.7464,2.20816,9.71666,10.51554,0
33.6613,82.4530,0.94740,22.63472,25.45595,0
27.2278,66.6942,0.00251,15.41778,18.70843,0
11.6917,28.6388,0.00425,8.08868,8.59932,0
43.1407,105.6726,0.23165,26.18153,30.62209,0
29.7609,72.8990,9.16252,12.52527,15.27484,0
23.5885,57.7799,7.91118,9.74220,12.46781,0
27.8208,68.1468,0.02183,10.84211,13.36394,0
23.7123,58.0830,1.78742,15.52632,19.00472,0
8.0000,19.5959,5.05735,8.19535,8.86394,0
15.3010,37.4797,23.72248,16.28593,19.79664,0
27.0135,66.1692,7.98087,21.50572,23.73860,0
34.7166,85.0379,0.49906,15.84501,18.86481,0
21.0585,51.5825,0.16045,17.09035,21.54521,0
32.0818,78.5840,0.45946,21.32287,26.72394,0
30.4011,74.4671,1.83750,10.80746,11.95025,0
29.0643,71.1926,1.03614,18.85910,22.16018,0
21.7275,53.2213,0.00210,14.87166,18.29750,0
15.0219,36.7960,0.97718,13.72631,14.23881,0
51.7893,126.8574,2.16830,35.08753,43.74198,0
32.7987,80.3400,26.51021,22.62932,24.78853,0
26.3410,64.5221,0.69709,17.85350,21.73520,0
22.3233,54.6808,1.00786,9.33325,12.17470,0
10.5335,25.8016,0.42005,3.11449,4.23984,0
26.9577,66.0326,0.16414,21.09366,25.54168,0
28.8470,70.6603,0.36276,23.85414,29.76365,0
47.1590,115.5155,0.97124,34.11165,39.95859,0
17.2252,42.1929,1.39736,13.08316,15.45640,0
22.5723,55.2907,0.02157,7.27419,8.43260,0
43.2763,106.0049,2.48318,20.71688,23.78219,0
38.6060,94.5650,3.06332,9.37526,10.26621,0
35.0973,85.9705,0.22041,23.76895,28.87998,0
40.0336,98.0619,0.09310,22.84231,26.62908,0
27.3681,67.0380,0.77720,10.10644,12.69798,0
22.2545,54.5120,2.49468,17.11246,20.02301,0
24.0376,58.8800,0.02916,15.82079,20.13211,0
13.8745,33.9855,0.58217,10.62354,13.30813,0
40.9292,100.2557,4.10439,25.30604,29.55153,0
22.3558,54.7603,1.83347,5.80326,6.46647,0
